,Genre 0,Genre 1,Genre 2,Genre 3,Genre 4
1,rock,classic rock,album rock,soft rock,mellow gold
2,blues,electric blues,blues rock,traditional blues,
3,modern blues,chicago blues,soul blues,acoustic blues,texas blues
4,melodic death metal,swedish melodeath,swedish metal,swedish death metal,gothenburg metal
5,rap,hip hop,pop rap,trap,
6,gangster rap,east coast hip hop,west coast rap,conscious hip hop,hardcore hip hop
7,pop,dance pop,r&b,southern hip hop,urban contemporary
8,classical,orchestra,classical performance,orchestral performance,late romantic era
9,scorecore,baroque,early music,german baroque,theme
10,jazz,bebop,jazz saxophone,contemporary post-bop,hard bop
11,house,tech house,uk dance,bass house,complextro
12,edm,pop dance,electro house,brostep,slap house
13,sad sierreno,corridos tumbados,corrido,sierreno,musica mexicana
14,urbano latino,trap latino,reggaeton,reggaeton colombiano,latin pop
15,melodic metalcore,metalcore,deathcore,djent,trancecore
16,classic soul,motown,southern soul,disco,quiet storm
17,soul,vocal jazz,jazz blues,jazz trumpet,torch song
18,afropop,world,mande pop,malian blues,desert blues
19,post-romantic era,early modern classical,impressionism,neoclassicism,early avant garde
20,classical piano,classical era,early romantic era,german romanticism,chamber orchestra
21,metal,old school thrash,thrash metal,speed metal,
22,alternative metal,post-grunge,nu metal,rap metal,groove metal
23,modern rock,permanent wave,alternative rock,pop rock,pop punk
24,filmi,modern bollywood,desi pop,punjabi pop,indian instrumental
25,world fusion,indian classical,hindustani classical,indian fusion,hindustani instrumental
26,miami hip hop,underground hip hop,drill,dark trap,cloud rap
27,melodic rap,canadian pop,chicago rap,neo soul,canadian hip hop
28,contemporary country,country,country road,modern country rock,
29,new wave pop,new romantic,new wave,synthpop,dance rock
30,glam metal,psychedelic rock,glam rock,piano rock,art rock
31,bossa nova,latin jazz,samba-jazz,,
32,adult standards,rock-and-roll,rockabilly,easy listening,lounge
33,reggae,roots reggae,dub,rocksteady,lovers rock
34,stomp and holler,indie folk,new americana,progressive bluegrass,north carolina roots
35,military band,marching band,concert band,american romanticism,wind symphony
36,dancehall,traphall,jamaican dancehall,jamaican hip hop,
37,anime score,anime,japanese soundtrack,japanese classical,japanese celtic
38,soundtrack,orchestral soundtrack,video game music,british soundtrack,german soundtrack
39,indie rock,indietronica,art pop,melancholia,garage rock
40,dutch blues,dutch rock,nederpop,,
41,ccm,christian music,christian alternative rock,,
42,focus beats,k-pop,pov: indie,k-pop girl group,classic oklahoma country
